title,singer,album,producer,distributor,year_month,is_popular,external_factors,num_times_top_10,num_times_top_5,num_times_top_1
이젠 잊기로 해요,여은 (멜로디데이),응답하라 1988 OST Part 10,"Stone Music Entertainment, 쿵엔터테인먼트",Stone Music Entertainment,201601,1,0,0,0,0
이태원 프리덤 (With JYP),유브이 (UV),이태원 프리덤 (Digital Single),코엔스타즈,Stone Music Entertainment,201104,1,1,0,0,0
이해,양다일,이해,브랜뉴뮤직,카카오 M,202005,0,0,0,0,0
인공잔디,악동뮤지션 (AKMU),PLAY,YG Entertainment,지니뮤직,201404,1,0,0,0,0
"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8,밀리언마켓,Dreamus,201910-201911-201912-202001,1,0,1,1,0
인기없던노래,김연우,돈스파이크 Presents Vol.3,Stone Music Entertainment & DonSpike,Stone Music Entertainment,201204,0,0,0,0,0
인사,멜로망스(MeloMance),인사,"민트페이퍼, 광합성",카카오 M,201907-201908-201909,1,0,0,0,0
인연,에일리 (Ailee),불후의 명곡 - 전설을 노래하다 (윤일상편),KBS미디어,카카오 M,201207,0,0,0,0,0
인연,"윤민수, 신용재",불후의 명곡 - 전설을 노래하다 (이선희 2편),KBS미디어,카카오 M,201404,1,0,1,1,0
인형,"신혜성, 임창정",SHIN HYE SUNG - Once Again #2,라이브웍스컴퍼니,Stone Music Entertainment,201408,0,0,0,0,0
일 년째,지아 (Zia),Anemone,카카오 M,카카오 M,201212,1,0,0,0,0
일기,헤이즈 (Heize),만추,"Stone Music Entertainment, Studio blu",지니뮤직,201910,0,0,0,0,0
일년전에,"장현승, 정은지, 김남주",`A Cube` For Season # White,플레이엠엔터테인먼트,Stone Music Entertainment,201301,1,0,0,0,0
일산으로,장범준,장범준 3집,버스커버스커,카카오 M,201905,0,0,0,0,0
일주일,애프터스쿨 (After School),일주일,브레이브 엔터테인먼트,카카오 M,201402,0,0,0,0,0
"일주일 (247) (feat.Zion.T, Crush, DEAN)",정기고,247,스타쉽 엑스,카카오 M,201510-201511,0,0,0,0,0
일주일 (A Week),씨스타 (Sistar),Give It To Me,스타쉽엔터테인먼트,카카오 M,201306,0,0,0,0,0
일편단심 민들레야,임영웅,내일은 미스터트롯 데스매치 PART2,"TV CHOSUN, 쇼플레이",카카오 M,202003-202004-202005,0,0,0,0,0
일하러 가야 돼,비스트 (Beast),Ordinary,큐브엔터테인먼트,Universal Music,201507,1,0,0,0,0
입김 (Hello),"정용화, 선우정아",교감,FNC엔터테인먼트,카카오 M,201601,0,0,0,0,0
입만 살아가지고,신용재,포맨 솔로 프로젝트 #1 신용재,YWHO & 해피페이스 Ent.,카카오 M,201310,0,0,0,0,0
입맞춤 (Feat. KikaFlo),먼데이 키즈 (Monday Kiz),입맞춤,캔 엔터테인먼트,지니뮤직,201312,0,0,0,0,0
입술 사이 (50cm),아이유 (IU),Modern Times,카카오 M,카카오 M,201310,1,0,0,0,0
입술에 입술(Lip 2 Lip),나인뮤지스A,MUSES DIARY,스타제국,지니뮤직,201608,0,0,0,0,0
입술의 말,엠씨더맥스 (M.C The Max),UNVEILING,뮤직앤뉴,카카오 M,201401,1,0,0,0,0
"입장정리 (Feat. 최자, Simon D)",프라이머리 (Primary),Primary And The Messengers Part 4,아메바컬쳐,Stone Music Entertainment,201207-201208,0,0,0,0,0
있기 없기,Dal★Shabet (달샤벳),있기 없기,해피페이스 엔터테인먼트,Stone Music Entertainment,201301,0,0,0,0,0
있다 없으니까 (Gone Not Around Any Longer),씨스타19,있다 없으니까,스타쉽엔터테인먼트,카카오 M,201302-201303,1,0,2,1,1
있다면,뉴이스트 W,NU`EST W `있다면`,플레디스,Stone Music Entertainment,201709-201711,0,0,0,0,0
있어 희미하게 (Feat. Gaeko),세훈&찬열,What a life - The 1st Mini Album,SM Entertainment,Dreamus,201908,0,0,0,0,0
있어줘 (Feat. Lydia Paek),다이나믹 듀오 (Dynamic Duo),GRAND CARNIVAL,아메바컬쳐,카카오 M,201511,0,0,0,0,0
있어줘요,장덕철,있어줘요,리메즈,카카오 M,201910-201911-201912-202001-202002,1,0,1,0,0
잊는다는 게,윤현상,파랑_WAVE,로엔트리,카카오 M,201503,0,0,0,0,0
잊어버리지마 (Feat.태연),크러쉬 (CRUSH),잊어버리지마,아메바컬쳐,카카오 M,201601-201602-201603,1,0,2,0,0
잊어야 한다는 마음으로,10cm,`명불허전` 김광석 다시듣기,Stone Music Entertainment,Stone Music Entertainment,201107,0,0,0,0,0
잊어준다,가비엔제이 (Gavy NJ),잊어준다,Good fellas Entertainment,카카오 M,201107-201108,0,0,0,0,0
잊었나,애프터스쿨 (After School),빛과 그림자 OST Part 1,뮤직스펀지,NHN벅스,201112,0,0,0,0,0
잊었니,백청강,잊었니,페이스엔터테인먼트,지니뮤직,201505,0,0,0,0,0
잊었니,이승철,신들의 만찬 OST Part 1,대풍콘텐츠,지니뮤직,201202-201203,1,0,0,0,0
잊었니,정준영,슈퍼스타K4 TOP12 Part 6,Stone Music Entertainment,Stone Music Entertainment,201211,0,0,0,0,0
잊을만도 한데,서영은,49일 OST Part 1,스타엔트리엔터테인먼트,다날,201103,0,0,0,0,0
잊을만하면,크러쉬 (CRUSH),잊을만하면,아메바컬쳐,Stone Music Entertainment,201805,1,0,1,0,0
잊지 말기로 해,"성시경, 권진아",Winter Wonderland,젤리피쉬 엔터테인먼트,Stone Music Entertainment,201412,1,0,1,1,0
잊지 말아요,백지영,아이리스 OST,태원엔터테인먼트,Stone Music Entertainment,201001-201002,0,0,0,0,0
자격지심 (Feat. 은하 of 여자친구),박경,자격지심,세븐시즌스,Stone Music Entertainment,201606,1,0,1,0,0
자기야 여보야 사랑아,린 (LYn),6th Part 2 `Candy Train`,라이브웍스컴퍼니,지니뮤직,201005-201006,1,0,0,0,0
자꾸만 자꾸만,신용재,24,해피페이스 엔터테인먼트,Stone Music Entertainment,201208,1,0,0,0,0
자나깨나 (Feat. 조이 of Red Velvet),크러쉬 (CRUSH),homemade 1,피네이션,Dreamus,202007,0,0,0,0,0
자니 (Feat. DYNAMICDUO),프라이머리 (Primary),자니,아메바컬쳐,Stone Music Entertainment,201203-201308-201309-201403-201404-201405,0,0,0,0,0
자전거,"정인, Gary(개리)",자전거,리쌍컴퍼니,카카오 M,201409,1,0,0,0,0
자화상,수호 (SUHO),자화상 - The 1st Mini Album,SM Entertainment,Dreamus,202004,0,0,0,0,0
자화상 pt.2 (Fake) (Prod. by BewhY),비와이(BewhY),쇼미더머니 5 Episode 5,Stone Music Entertainment,Stone Music Entertainment,201607,0,0,0,0,0
"작두 (Feat. 넉살, Huckleberry P)",딥플로우(Deepflow),양화,"STONESHIP, VMC",지니뮤직,201707,0,0,0,0,0
작별 인사,악동뮤지션 (AKMU),항해,YG Entertainment,YG PLUS,201909,0,0,0,0,0
작사가,헤이즈 (Heize),Lyricist,"Stone Music Entertainment, Studio blu",지니뮤직,202007,0,0,0,0,0
작업의 정석,허영생,Life,B2M 엔터테인먼트,Stone Music Entertainment,201303,0,0,0,0,0
작은 것들을 위한 시 (Boy With Luv) (Feat. Hals...,방탄소년단,MAP OF THE SOUL _ PERSONA,빅히트 엔터테인먼트,Dreamus,201904-201905-201906-201907-201908-201909-201910-201911-201912-202001-202002-202003-202004-202005-202006-202007-202008,1,0,3,1,0
작은별,악동뮤지션 (AKMU),PLAY,YG Entertainment,지니뮤직,201404,1,0,0,0,0
잔소리,"아이유 (IU), 슬옹 (2AM)",잔소리,카카오 M,카카오 M,201006-201007-201008,1,1,2,1,1
잔혹동화,아이유 (IU),Real+,카카오 M,카카오 M,201102,1,0,1,0,0
잘 된 일이야,나비 (Navi),1집 Hello,ITM,카카오 M,201102,1,0,0,0,0
잘 살고 있다,V.O.S,잘 살고 있다,스튜디오 오드리,카카오 M,202004,0,0,0,0,0
잘 살고 있지롱,윤딴딴,잘 살고 있지롱,"매직스트로베리 사운드, 딴딴한 피플",카카오 M,201906,0,0,0,0,0
잘 알지도 못하면서,김예림 (투개월),A Voice,미스틱스토리,Stone Music Entertainment,201306,0,0,0,0,0
잘 알지도 못하면서,린 (LYn),보스를 지켜라 OST Part 2,SBS 콘텐츠허브,SBS 콘텐츠허브,201108,0,0,0,0,0
잘 있나요,더 원 (The One),구가의 서 OST Part 6,삼화네트웍스,카카오 M,201306,1,0,0,0,0
잘 있나요 (Acoustic Ver.),최진혁,구가의 서 OST Special,삼화네트웍스,카카오 M,201306,1,0,0,0,0
잘 지내니 (Feat. 넋업샨),메이비 (Maybee),잘 지내니,블루브릿지,NHN벅스,201308,0,0,0,0,0
잘 지내요,정승환,라이프 OST Part 6,씨그널엔터테인먼트그룹,지니뮤직,201812-201904,0,0,0,0,0
잘가요 로맨스,서인영,Lov-Elly (EP),스타제국,Stone Music Entertainment,201006,0,0,0,0,0
잘나가서 그래 (Feat. 정일훈 of BTOB),현아 (HyunA),A+,플레이엠엔터테인먼트,Universal Music,201510,0,0,0,0,0
잘됐으면 좋겠다,홍대광,잘됐으면 좋겠다,"MMO엔터테인먼트, Stone Music Entertainment",Stone Music Entertainment,201505,0,0,0,0,0
잘못된 만남,김건모,3집 잘못된 만남,-,지니뮤직,201501,1,0,0,0,0
잘못했어,2AM,잘못했어,빅히트엔터테인먼트 & JYP엔터테인먼트,카카오 M,201003-201004,1,0,1,1,0
잘자요 굿나잇,비원에이포 (B1A4),THE B1A4 Ⅰ (IGNITION) (Special Edition...,WM엔터테인먼트,포니캐년코리아,201206,1,0,0,0,0
잘지내,정엽,잘지내,인넥스트 트렌드,Stone Music Entertainment,201001,0,0,0,0,0
잘할 걸,버스커 버스커 (Busker Busker),버스커버스커 2집,"청춘뮤직, Stone Music Entertainment",Stone Music Entertainment,201309-201310,1,0,2,0,0
잘해 주지 마요,김종국,Eleventh Story,원오원엔터테인먼트,카카오 M,201001-201002,1,0,0,0,0
잘해줘봐야,걸스데이 (Girl`s Day),Girl`s Day Party #2,드림티 엔터테인먼트,에이앤지모즈,201011,0,0,0,0,0
잠 못 드는 밤 비는 내리고,아이유 (IU),꽃갈피 둘,"페이브엔터테인먼트,카카오 M",카카오 M,201709-201710,1,0,0,0,0
잠 못드는 밤 (feat. 펀치(Punch)),크러쉬 (CRUSH),괜찮아 사랑이야 OST Part 3,"Stone Music Entertainment, 가지컨텐츠",Stone Music Entertainment,201408,1,0,1,0,0
잠깐만,아이오아이 (I.O.I),miss me?,YMC엔터테인먼트,카카오 M,201611,0,0,0,0,0
잠수교 (Sing the Road #02),"박진영, 정승환",Sing the Road,JYP Entertainment,지니뮤직,201509,0,0,0,0,0
잠시 안녕처럼,에일리 (Ailee),운명처럼 널 사랑해 OST Part 6,포레스트미디어,카카오 M,201408,1,0,0,0,0
잠시만 안녕 (Original),엠씨더맥스 (M.C The Max),M.C The Max!,You & I Entertainment,오감엔터테인먼트,201502,0,0,0,0,0
잠은 다 잤나봐요,"소유, 유승우",구르미 그린 달빛 OST Part 1,오우엔터테인먼트,NHN벅스,201609,1,0,0,0,0
잠자는 숲 속의 왕자 (Feat. 윤상),아이유 (IU),Last Fantasy,카카오 M,카카오 M,201112,1,0,0,0,0
장가가고 싶은 남자 시집가고 싶은 여자,장미여관,장가가고 싶은 남자 시집가고 싶은 여자,록스타뮤직앤라이브,미러볼뮤직,201311,0,0,0,0,0
장난 아니야 (Feat. 김태우 & Narr. 이다해),수호,장난 아니야,WS엔터테인먼트,카카오 M,201308,0,0,0,0,0
장마,마마무 (Mamamoo),장마,RBW,카카오 M,201807,1,0,1,0,0
재미없어,빅뱅,빅뱅 미니앨범 5집 ALIVE,YG Entertainment,지니뮤직,201203,1,0,0,0,0
재연 (An Encore),샤이니 (SHINee),Odd - The 4th Album,SM Entertainment,지니뮤직,201505,0,0,0,0,0
잼잼,아이유 (IU),Palette,"페이브엔터테인먼트,카카오 M",카카오 M,201704,1,0,0,0,0
저 별,헤이즈 (Heize),저 별,Stone Music Entertainment,Stone Music Entertainment,201612-201701,1,0,1,1,0
저녁 하늘,에일리 (Ailee),Invitation,YMC엔터테인먼트,카카오 M,201210-201211-201212-201302,0,0,0,0,0
전 여자친구에게 (Feat. 선우정아),산이 (San E),`Not` Based On The True Story,브랜뉴뮤직,카카오 M,201312,0,0,0,0,0
전야 (前夜) (The Eve),EXO,THE WAR - The 4th Album,SM Entertainment,지니뮤직,201709,0,0,0,0,0
전원일기 (田園日記),티아라 N4,전원일기,코어컨텐츠미디어,카카오 M,201305,1,0,0,0,0
전쟁이야,엠블랙 (MBLAQ),MBLAQ 4th Mini Album `100%Ver.`,J.Tune Camp,Stone Music Entertainment,201201,1,0,1,0,0
전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,LOVE YOURSELF 轉 `Tear`,빅히트 엔터테인먼트,Dreamus,201806,1,0,0,0,0
전혀 (Feat. 우원재) (Prod. GroovyRoom),이병재 (Vinxen),고등래퍼2 Final,Stone Music Entertainment,Stone Music Entertainment,201806,0,0,0,0,0
전화번호,지누션,노라보세,YG Entertainment,지니뮤직,201501,1,0,0,0,0
"전화번호 (feat. 버벌진트, 40)",스윙스(Swings),감정기복 II part. 2 _ 강박증 (Obsessive Compu...,브랜뉴뮤직,Stone Music Entertainment,201407,1,0,0,0,0
전활 거네,버스커 버스커 (Busker Busker),버스커 버스커 1집,Stone Music Entertainment,Stone Music Entertainment,201204,1,0,0,0,0
전활 받지 않는 너에게,2AM,1집 Saint O`clock,빅히트엔터테인먼트 & JYP엔터테인먼트,카카오 M,201010-201011,1,0,1,1,0
점점 더,제이제이 (JJ),Special One,냠냠엔터테인먼트,카카오 M,201003,0,0,0,0,0
점핑 (Jumping),카라 (KARA),점핑 (Jumping),DSP미디어,Stone Music Entertainment,201011-201012,1,0,1,0,0
정거장,이석훈,인사,아이에스엔터미디어그룹,카카오 M,201005-201006,0,0,0,0,0
정류장,버스커 버스커 (Busker Busker),슈퍼스타K3 TOP 11 Part 3,Stone Music Entertainment,Stone Music Entertainment,201110,1,0,0,0,0
정말로 사랑한다면,버스커 버스커 (Busker Busker),버스커 버스커 1집 마무리,Stone Music Entertainment,Stone Music Entertainment,201206-201207-201208,1,0,2,0,0
정신이 나갔었나봐,이승기,내 여자친구는 구미호 OST,후크엔터테인먼트,NHN벅스,201008,1,0,1,0,0
정주나요,스윗 콧소로우,무한도전 서해안 고속도로 가요제,MBC,지니뮤직,201107,1,0,0,0,0
제발,김범수,`나는 가수다` 경연2. `서로의 노래 바꿔 부르기`,아이엠비씨,카카오 M,201103-201104-201105,1,0,1,1,0
제주도의 푸른 밤,태연 (TAEYEON),밴드 고맙삼다,SM Entertainment,지니뮤직,201606,0,0,0,0,0
조금 이따 샤워해 (Feat. Crush),Gary (개리),MR.GAE,리쌍컴퍼니,카카오 M,201401,1,0,1,1,0
조금 취했어 (Prod. 2soo),임재현,조금 취했어,"엔에스씨컴퍼니, 디원미디어",카카오 M,201910-201911-201912-202001-202002-202003-202004,1,0,2,1,0
조금씩 멀어지네요,이영현,PLUS+,뮤직앤뉴,Stone Music Entertainment,201205,0,0,0,0,0
"조만간 봐요 (Feat. BSK, 개코)",프라이머리 (Primary),2-1,아메바컬쳐,카카오 M,201504,1,0,0,0,0
조용필처럼,팬텀 (Phantom),Phantom Theory,"WA엔터테인먼트,브랜뉴뮤직",카카오 M,201301,0,0,0,0,0
조율,JK 김동욱,`나는 가수다` 경연 5-2. 청중 평가단 추천곡,아이엠비씨,카카오 M,201106,1,0,1,0,0
"존버 (Feat. Coogie, Jiselle)",MC몽,CHANNEL 8,밀리언마켓,Dreamus,201911,0,0,0,0,0
종소리,러블리즈,3rd Mini Album [Fall in Lovelyz],울림 엔터테인먼트,Stone Music Entertainment,201711,0,0,0,0,0
종이비행기 (Hello) (Feat. pH-1),윤하,종이비행기 (Hello),C9엔터테인먼트,카카오 M,201712,0,0,0,0,0
좋겠어 (I Wish),FTISLAND (FT 아일랜드),4집 Five Treasure Box,FNC엔터테인먼트,Stone Music Entertainment,201209,1,0,0,0,0
좋니,윤종신,LISTEN 010 좋니,미스틱스토리,카카오 M,201707-201708-201709-201710-201711-201712-201801-201802,1,0,5,3,0
좋다고 말해,볼빨간사춘기,Full Album RED PLANET (Hidden Track),쇼파르뮤직,NHN벅스,201612-201701-201702-201703-201704-201705,1,0,2,0,0
좋아,"윤종신, 민서",2017 월간 윤종신 11월호,미스틱스토리,Stone Music Entertainment,201711-201712-201801,1,0,2,1,0
좋아 (Joah),박재범,Joah,IHQ,Universal Music,201304,1,0,0,0,0
좋아 (She is),종현 (JONGHYUN),좋아 - The 1st Album,SM Entertainment,지니뮤직,201605,0,0,0,0,0
좋아보여 (Feat. 검정치마),버벌진트 (Verbal Jint),4집 Go Easy,브랜뉴뮤직,Universal Music,201109,1,1,0,0,0
좋아보여 Part 2 (Feat. 오수민),제이스 (Jace),좋아보여 Part 2,브랜뉴뮤직,Universal Music,201111,0,0,0,0,0
좋은 날,멜로망스(MeloMance),미스터 션샤인 OST Part 5,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,201811-201902,0,0,0,0,0
좋은 날,아이유 (IU),Real,카카오 M,카카오 M,201012-201101-201102,1,0,2,2,1
좋은 사람,"김진표(JP), 숙희",싸인 OST Part 1,레몬브리즈,NHN벅스,201101,0,0,0,0,0
좋은 사람 있으면 소개시켜줘,럼블피쉬,좋은 사람 있으면 소개시켜줘,Warner Music,카카오 M,201003,0,0,0,0,0
좋은 사람 있으면 소개시켜줘,조이,슬기로운 의사생활 OST Part 2,"스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment","지니뮤직, Stone Music Entertainment",202004-202005-202006-202007-202008,1,0,2,0,0
좋은 오빠 동생으로만,바이브 (Vibe),4집 Vibe In Praha,태일런스미디어,Stone Music Entertainment,201005,0,0,0,0,0
좋은 일이야,비스트 (Beast),Time,큐브엔터테인먼트,Universal Music,201410,0,0,0,0,0
죄인,이은미,소리 위를 걷다 2,네오비즈컴퍼니,Sony Music,201005,0,0,0,0,0
주라주라,둘째이모 김다비,주라주라,비보웨이브,카카오 M,202005,0,0,0,0,0
주마등 (Feat. MI-WOO),리쌍(LeeSSang),주마등,리쌍컴퍼니,카카오 M,201507,1,0,0,0,0
주먹을 꽉 쥐고,비스트 (Beast),Mastermind,큐브엔터테인먼트,Universal Music,201010,0,0,0,0,0
주변인,아웃사이더,주변인 _ The Outsider,스나이퍼사운드,포니캐년코리아,201003,1,0,0,0,0
주인공,선미,주인공,"메이크어스엔터테인먼트, The Black Label",카카오 M,201801-201802-201803,1,0,1,1,0
주인공 (Feat. LMNOP),아웃사이더,3집 주인공,스나이퍼사운드,포니캐년코리아,201011,0,0,0,0,0
주저하는 연인들을 위해,잔나비,전설,페포니 뮤직,카카오 M,201903-201904-201905-201906-201907-201908-201909,1,0,3,2,1
주지마,"로꼬, 화사",건반 위의 하이에나 Part.4,한국방송공사,카카오 M,201804-201805-201806-201807-201808,1,0,2,1,1
죽겠네 (Album Ver.),10cm,1집 1.0,10cm,미러볼뮤직,201105,0,0,0,0,0
죽겠다 (KILLING ME),iKON,NEW KIDS _ CONTINUE,YG Entertainment,지니뮤직,201808,1,0,0,0,0
죽고 싶단 말 밖에,허각,죽고 싶단 말 밖에,플레이엠엔터테인먼트,Stone Music Entertainment,201111-201112,1,0,1,1,0
죽도록 사랑해 (Feat. Soul Dive),KCM,제빵왕 김탁구 OST Part 2,풍년아트콘텐츠,NHN벅스,201006-201008,0,0,0,0,0
죽어도 너야,"뷔, 진 (방탄소년단)",화랑 OST Part.2,오보이 프로젝트,Sony Music,201701,0,0,0,0,0
죽어도 못 보내,2AM,죽어도 못 보내,JYP Entertainment,카카오 M,201001-201002-201003,1,0,2,2,1
죽어도 사랑해,거미,대물 OST Part 1,이김프로덕션,SBS 콘텐츠허브,201010-201011,1,0,1,1,0
죽을 것만 같아,환희,HWANHEE,에이치엔터컴,카카오 M,201107,0,0,0,0,0
죽을 만큼,포지션,다섯손가락 OST Part 5,허브엔터테인먼트,카카오 M,201211,0,0,0,0,0
죽을 만큼 아파서 (Feat. 멜로우),MC몽,블루브랜드 2집 Trauma Part 2,Stone Music Entertainment,Stone Music Entertainment,201006-201007-201008,1,0,2,1,0
죽을래 사귈래,센치한 하하,무한도전 서해안 고속도로 가요제,MBC,지니뮤직,201107,1,0,0,0,0
죽을만큼 아파서 Part 2 (Feat. 스웨덴세탁소),MC몽,MISS ME OR DISS ME,드림티 엔터테인먼트,카카오 M,201411,1,0,1,1,0
죽일 놈 (Guilty),다이나믹 듀오 (Dynamic Duo),5집 Band Of Dynamic Brothers,아메바컬쳐,Stone Music Entertainment,201001,0,0,0,0,0
줄래 (Feat. 서인국),스윙스 (Swings),줄래,피앤피미디어,NHN벅스,201305,0,0,0,0,0
줄리엣,버스커 버스커 (Busker Busker),버스커버스커 2집,"청춘뮤직, Stone Music Entertainment",Stone Music Entertainment,201309,1,0,0,0,0
중독 (Feat. 칸토),이영현 (빅마마),중독,"뮤즈바이유, 뮤직앤뉴",카카오 M,201312,0,0,0,0,0
중독 (Overdose),EXO-K,The 2nd Mini Album ‘중독 (Overdose)’,SM Entertainment,지니뮤직,201405-201406,1,0,1,1,0
지각,장덕철,Group,리메즈,카카오 M,201808,0,0,0,0,0
지구가 태양을 네 번,넬 (Nell),Newton`s Apple,에스엠컬처앤콘텐츠레이블울림,카카오 M,201403,1,0,0,0,0
지구인?,10cm,지구인?,텐뮤직,미러볼뮤직,201304,0,0,0,0,0
지금 우는 사람들,울랄라세션,지금 우는 사람들,울랄라컴퍼니,카카오 M,201411,0,0,0,0,0
지금까지 행복했어요 (BAEKHO SOLO),뉴이스트 W,"W, HERE",플레디스,Stone Music Entertainment,201710,0,0,0,0,0
지금부터 사랑해 (내 여자친구는 구미호 삽입곡),이승기,지금부터 사랑해,후크엔터테인먼트,NHN벅스,201009,1,0,0,0,0
지나갈 테니 (Been Through),EXO,"Universe - 겨울 스페셜 앨범, 2017",SM Entertainment,지니뮤직,201801,0,0,0,0,0
지나오다,닐로 (Nilo),About You,닐로 컴퍼니,퍼플파인 엔터테인먼트,201804-201805-201806-201807-201808-201809-201810-201901-201902-201903,1,0,3,3,1
지독하게,FTISLAND (FT 아일랜드),Grown-Up,FNC엔터테인먼트,Stone Music Entertainment,201202-201203,1,1,1,1,0
지못미,iKON,WELCOME BACK,YG Entertainment,지니뮤직,201511,1,0,0,0,0
지우개,알리 (ALi),지우개,예당컴퍼니,카카오 M,201302,1,0,0,0,0
지우고 싶다,포맨 (4Men),4MEN The 5th Album (1998),YWHO & 해피페이스 Ent.,카카오 M,201405,1,0,0,0,0
지워 (Feat. 아이언),"효린, 주영",지워,스타쉽 엑스,카카오 M,201412,1,0,0,0,0
지워지지 않는 1,"주비, 거미",지워지지 않는 1,로엔트리,카카오 M,201509,0,0,0,0,0
"지친 하루 (With 곽진언, 김필)",윤종신,2014 월간 윤종신 12월호,미스틱스토리,Stone Music Entertainment,201501,0,0,0,0,0
지칠 때면 (Feat. 김종완 of Nell),정준하 X ZICO,무한도전 위대한 유산,MBC,카카오 M,201701,1,0,0,0,0
지켜줄게,백예린,Our love is great,JYP Entertainment,Dreamus,201904,0,0,0,0,0
지켜줄게,지창욱,힐러 OST Part 6,"도레미엔터테인먼트, 김종학프로덕션",식스틴미디어,201502,0,0,0,0,0
지킬 (Jekyll),EXO,OBSESSION - The 6th Album,SM Entertainment,Dreamus,202001,0,0,0,0,0
지하철에서,악동뮤지션 (AKMU),PLAY,YG Entertainment,지니뮤직,201404,1,0,0,0,0
직감,씨엔블루 (CNBLUE),FIRST STEP,FNC엔터테인먼트,Stone Music Entertainment,201103-201104,1,0,2,2,0
진또배기,이찬원,내일은 미스터트롯 예선곡 베스트,"TV CHOSUN, 쇼플레이",카카오 M,202002-202005,0,0,0,0,0
진실 혹은 대담,가인,Truth Or Dare,에이팝엔터테인먼트,카카오 M,201402,1,0,0,0,0
진심이 담긴 노래 (True Song),케이시 (Kassy),진심이 담긴 노래 (True Song),넥스타엔터테인먼트,카카오 M,201904-201905-201906,1,1,0,0,0
진짜 진짜 좋아해,티아라 (T-ara),존트라볼타 워너비,코어컨텐츠미디어,카카오 M,201107,0,0,0,0,0
진짜일 리 없어,임정희,진짜일 리 없어 (EP),빅히트엔터테인먼트 & JYP엔터테인먼트,카카오 M,201010,1,1,1,0,0
질투 (Duet. 키썸),유성은,질투 (Duet. 키썸),뮤직웍스,Sony Music,201604,0,0,0,0,0
짐살라빔 (Zimzalabim),레드벨벳(Red Velvet),`The ReVe Festival` Day 1,SM Entertainment,Dreamus,201906-201907,1,0,0,0,0
집,Wanna One (워너원),1¹¹=1 (POWER OF DESTINY),"SWING Entertainment, Stone Music Entertainment",지니뮤직,201812-201901,0,0,0,0,0
집에 가지마,"GD, TOP  (빅뱅)",GD & TOP 정규앨범 1집,YG Entertainment,지니뮤직,201103,0,0,0,0,0
집에 안갈래,나비 (Navi),집에 안갈래,ITM,카카오 M,201309,1,0,0,0,0
집행유애,유브이 (UV),집행유애 (Back To The Dance),MUZIE SOUND,다이렉트미디어,201007,0,0,0,0,0
짙어져,멜로망스(MeloMance),Yellow OST part.2,스페이스오디티,카카오 M,201710-201711,0,0,0,0,0
짝사랑,정엽,`나는 가수다` 경연 1. `80년대 명곡 부르기,아이엠비씨,카카오 M,201104,0,0,0,0,0
짠해,피에스타(FIESTAR),BLACK LABEL,콜라보따리,카카오 M,201503,0,0,0,0,0
짠해 (Cheerz),Simon D. (사이먼 디),Simon Dominic Presents `SNL League Beg...,아메바컬쳐,Stone Music Entertainment,201110,1,0,0,0,0
짧은 치마 (Miniskirt),AOA,짧은 치마,FNC엔터테인먼트,Stone Music Entertainment,201401-201402,1,0,0,0,0
짧은머리,"허각, 정은지 (에이핑크)",`A Cube` For Season # Blue,플레이엠엔터테인먼트,Stone Music Entertainment,201306-201307,1,0,1,1,0
쩔어,뚱스,쩔어,정글엔터테인먼트,Stone Music Entertainment,201211,0,0,0,0,0
쩔어,방탄소년단,화양연화 pt.1,빅히트 엔터테인먼트,카카오 M,201507,0,0,0,0,0
쩔어 (GD&T.O.P),빅뱅,E,YG Entertainment,지니뮤직,201508,1,0,1,1,0
찢긴 가슴,아이비 (Ivy),INTERVIEW,Stone Music Entertainment & 폴라리스,Stone Music Entertainment,201205,1,0,0,0,0
차 마실래?,헬로비너스 (Hello Venus),차 마실래?,트라이셀미디어,NHN벅스,201306,0,0,0,0,0
차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN(박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love),엔터테인먼트뉴오더,카카오 M,201912,1,0,0,0,0
착해 빠졌어 (Stupid In Love),"소유, 매드 클라운 (Mad Clown)",착해 빠졌어 (Stupid In Love),스타쉽 엑스,카카오 M,201309-201310,1,0,1,1,0
찰리채플린,블락비 바스타즈,품행제로,세븐시즌스,Stone Music Entertainment,201504,0,0,0,0,0
찹쌀떡,센치한 하하,무한도전 서해안 고속도로 가요제,MBC,지니뮤직,201108,1,0,1,0,0
찾았다,JYJ,성균관 스캔들 OST,래몽래인,Warner Music,201009,1,0,0,0,0
처럼 (Feat. 이하이),유재석 X Dok2,무한도전 위대한 유산,MBC,카카오 M,201701,1,0,0,0,0
처음 그 날처럼,"나윤권, MC 스나이퍼, 더 치얼스",MM Choice Part 1,엠비씨플러스미디어,NHN벅스,201206,0,0,0,0,0
처음 만날때처럼,잔나비,처음 만날때처럼,스포트라이트,카카오 M,201905,0,0,0,0,0
처음 사랑하는 연인들을 위해 (반말송),정용화(Jung Yong Hwa),처음 사랑하는 연인들을 위해 (부제 반말송),FNC엔터테인먼트,Stone Music Entertainment,201101,1,0,1,1,0
처음 하는 말처럼,신승훈,천일의 약속 OST Part 2,예인문화,지니뮤직,201111,0,0,0,0,0
